CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
18440.199047619048,0.3334558823529417,Converted,Converted,96.0
6655972.81857143,0.1899680725928415,Converted,Converted,100.0
6655972.81857143,0.351359516616314,Converted,Converted,100.0
6655972.81857143,0.305874386005496,Not Converted,Not Converted,100.0
6655972.81857143,0.3024542113547976,Not Converted,Not Converted,90.0
6655972.81857143,0.1899109792284866,Converted,Converted,100.0
6655972.81857143,0.3326352439595122,Not Converted,Not Converted,68.0
6655972.81857143,0.2939890710382514,Converted,Converted,100.0
6655972.81857143,0.3337216074548652,Converted,Converted,100.0
6655972.81857143,0.2667802846940867,Not Converted,Converted,61.0
6655972.81857143,0.2745800671892497,Converted,Converted,99.0
6655972.81857143,0.2731559520147647,Not Converted,Not Converted,100.0
6655972.81857143,0.3219898429577853,Not Converted,Not Converted,100.0
6655972.81857143,0.3550027715876178,Not Converted,Not Converted,68.70010822510824
6655972.81857143,0.2453285118658529,Not Converted,Converted,77.0
6655972.81857143,0.218232044198895,Converted,Converted,93.0
6655972.81857143,0.2025723472668811,Converted,Converted,100.0
6655972.81857143,0.1900693212961469,Converted,Converted,100.0
6655972.81857143,0.2195121951219513,Converted,Converted,100.0
6655972.81857143,0.3370201691607026,Converted,Converted,100.0
6655972.81857143,0.3078448846557471,Not Converted,Not Converted,74.0
6655972.81857143,0.3342599027102185,Converted,Converted,62.83690476190477
197553.81662162163,0.2511776038672161,Not Converted,Not Converted,61.0
6655972.81857143,0.1855421686746987,Converted,Converted,100.0
6655972.81857143,0.3252111518050681,Converted,Converted,100.0
6655972.81857143,0.3401257847942697,Not Converted,Not Converted,100.0
6655972.81857143,0.3306233062330624,Converted,Converted,100.0
6655972.81857143,0.1798892988929886,Converted,Converted,100.0
197553.81662162163,0.1727272727272726,Not Converted,Converted,72.0
6655972.81857143,0.3597733711048159,Converted,Converted,86.0
6655972.81857143,0.3268998793727382,Converted,Converted,100.0
197553.81662162163,0.3237515413070282,Converted,Not Converted,100.0
6655972.81857143,0.2375433077172795,Not Converted,Not Converted,100.0
6655972.81857143,0.19714883497999,Not Converted,Not Converted,65.0
