CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
4320717.807058823,0.2469294372555819,Lost,Lost,93.0
4320717.807058823,0.25,Won,Won,100.0
4320717.807058823,0.3464841683857457,Lost,Lost,100.0
4320717.807058823,0.3424211165064507,Lost,Lost,100.0
14807.444069400628,0.2836872659303775,Won,Won,98.0
4320717.807058823,0.2413822433459286,Lost,Lost,89.0
4320717.807058823,0.2850586343098145,Lost,Lost,76.0
4320717.807058823,0.192250372578245,Won,Won,100.0
135861.51845794392,0.2500400962309541,Won,Won,100.0
135861.51845794392,0.2820480035956692,Won,Won,100.0
4320717.807058823,0.23065928297148489,Won,Won,98.0
14807.444069400628,0.31043080300768566,Won,Won,87.0
4320717.807058823,0.21946783664753805,Won,Won,100.0
4320717.807058823,0.1968112115365086,Won,Lost,65.0
4320717.807058823,0.280327037414402,Won,Lost,84.0
4320717.807058823,0.3333333333333333,Won,Won,100.0
4320717.807058823,0.2771126760563378,Won,Won,100.0
4320717.807058823,0.22511483653198702,Won,Won,96.0
4320717.807058823,0.34307860690051484,Won,Lost,100.0
4320717.807058823,0.3293762431089916,Lost,Lost,100.0
135861.51845794392,0.3203742751174359,Lost,Lost,62.0
4320717.807058823,0.23514339300582787,Won,Lost,74.0
135861.51845794392,0.3486930746429514,Won,Won,90.0
4320717.807058823,0.2958305475281901,Won,Won,65.0
4320717.807058823,0.3130843769567476,Lost,Won,62.0
4320717.807058823,0.297343616109683,Won,Lost,100.0
4320717.807058823,0.3248543196818489,Lost,Lost,100.0
135861.51845794392,0.3660278398592642,Won,Won,70.0
4320717.807058823,0.3446155203770408,Lost,Lost,100.0
4320717.807058823,0.2550117736905748,Won,Won,100.0
4320717.807058823,0.2543391792942814,Won,Lost,91.0
4320717.807058823,0.2463584229540154,Lost,Lost,99.0
4320717.807058823,0.241785145997449,Lost,Won,70.0
4320717.807058823,0.3044414449157986,Won,Won,87.0
4320717.807058823,0.2691590787359399,Won,Won,100.0
4320717.807058823,0.2708333333333332,Won,Won,60.0
4320717.807058823,0.23549780365420964,Won,Won,79.0
4320717.807058823,0.302063789868668,Won,Lost,100.0
4320717.807058823,0.2528704081054387,Lost,Lost,92.0
4320717.807058823,0.3109707971586424,Won,Won,100.0
4320717.807058823,0.1914293316265047,Won,Won,100.0
135861.51845794392,0.2974652967248031,Lost,Lost,60.0
4320717.807058823,0.2658662092624358,Won,Won,100.0
4320717.807058823,0.369529869213922,Lost,Won,75.0
4320717.807058823,0.2041382499133049,Won,Won,71.0
4320717.807058823,0.3265689061306643,Lost,Lost,100.0
4320717.807058823,0.2067010667098595,Won,Won,100.0
4320717.807058823,0.3664971258128489,Lost,Lost,100.0
4320717.807058823,0.3333333333333335,Won,Won,100.0
4320717.807058823,0.3021269295161004,Lost,Lost,99.0
4320717.807058823,0.3376499147717964,Lost,Lost,96.0
4320717.807058823,0.3524455028843682,Lost,Lost,90.0
4320717.807058823,0.3667880954519212,Lost,Lost,57.99999999999999
4320717.807058823,0.3527289467032496,Won,Lost,100.0
4320717.807058823,0.3499725010356798,Lost,Lost,100.0
4320717.807058823,0.2365477107709567,Lost,Lost,92.0
135861.51845794392,0.2469505178365937,Won,Lost,59.0
4320717.807058823,0.3561435627421874,Lost,Lost,100.0
14807.444069400628,0.21025650610461363,Won,Won,100.0
4320717.807058823,0.2446847507331377,Won,Won,73.0
4320717.807058823,0.3332393424895955,Won,Won,69.0
4320717.807058823,0.2869890581728425,Lost,Won,100.0
4320717.807058823,0.2955393775684649,Lost,Lost,77.0
14807.444069400628,0.3279515378441235,Won,Won,100.0
4320717.807058823,0.3301512604292617,Lost,Lost,97.0
4320717.807058823,0.3321926766436875,Lost,Lost,100.0
4320717.807058823,0.24560414926283522,Won,Lost,97.0
135861.51845794392,0.1737637155669217,Lost,Lost,62.0
4320717.807058823,0.3611060758511427,Lost,Lost,100.0
135861.51845794392,0.3021739130434782,Won,Won,100.0
4320717.807058823,0.2794897784882991,Lost,Lost,100.0
4320717.807058823,0.2661093605480368,Won,Won,100.0
4320717.807058823,0.3595855431182897,Lost,Lost,100.0
4320717.807058823,0.2584779944691746,Won,Lost,100.0
4320717.807058823,0.3018839025884524,Won,Won,100.0
4320717.807058823,0.257812983476701,Won,Won,100.0
4320717.807058823,0.3156684700228219,Won,Lost,97.0
14807.444069400628,0.36634954250096546,Won,Won,92.0
4320717.807058823,0.2167724251257426,Lost,Lost,97.0
14807.444069400628,0.25,Won,Won,100.0
14807.444069400628,0.2230854605993341,Won,Lost,93.0
4320717.807058823,0.1800850858885867,Won,Won,100.0
135861.51845794392,0.3150974407137824,Won,Won,71.0
14807.444069400628,0.23094468847887764,Won,Won,86.0
4320717.807058823,0.27231121164348177,Won,Won,82.0
4320717.807058823,0.2358458350804599,Lost,Lost,87.0
4320717.807058823,0.20648330040159601,Won,Lost,74.0
4320717.807058823,0.2178702570379436,Won,Won,65.0
4320717.807058823,0.3683157583749161,Lost,Lost,100.0
4320717.807058823,0.2464698331193835,Won,Won,100.0
4320717.807058823,0.330043834427727,Lost,Lost,93.0
4320717.807058823,0.2855286741870457,Lost,Lost,100.0
4320717.807058823,0.2014886263757315,Lost,Lost,68.0
4320717.807058823,0.2515723270440251,Won,Won,100.0
4320717.807058823,0.18834808494898506,Won,Won,66.0
4320717.807058823,0.3312184238340112,Lost,Lost,100.0
4320717.807058823,0.214527008822347,Lost,Lost,100.0
4320717.807058823,0.3045371418618828,Won,Lost,100.0
4320717.807058823,0.3159996046598989,Lost,Won,65.0
4320717.807058823,0.2251826901883029,Lost,Won,100.0
4320717.807058823,0.3228075634211764,Lost,Lost,99.0
4320717.807058823,0.3679441003461017,Lost,Lost,100.0
4320717.807058823,0.19195292643531434,Won,Won,100.0
135861.51845794392,0.2805881143327165,Won,Lost,59.0
135861.51845794392,0.2499999999999999,Won,Won,100.0
4320717.807058823,0.1989096354113935,Lost,Lost,100.0
14807.444069400628,0.2216971955533453,Won,Won,100.0
4320717.807058823,0.3542394018242077,Lost,Lost,84.0
4320717.807058823,0.3284419355278522,Lost,Lost,100.0
135861.51845794392,0.25,Won,Won,100.0
4320717.807058823,0.2334780092592589,Won,Won,100.0
135861.51845794392,0.176470588235294,Won,Won,100.0
135861.51845794392,0.2823416392769311,Won,Won,100.0
4320717.807058823,0.327188940092166,Won,Won,100.0
4320717.807058823,0.1852615723866172,Won,Won,100.0
4320717.807058823,0.288764847597127,Lost,Lost,100.0
4320717.807058823,0.3219286503185646,Lost,Lost,100.0
4320717.807058823,0.3385014847565315,Lost,Lost,100.0
4320717.807058823,0.2998552433932964,Lost,Won,85.0
4320717.807058823,0.2659855325916337,Won,Won,99.0
4320717.807058823,0.3168647262378849,Lost,Lost,100.0
4320717.807058823,0.2424601702726101,Lost,Lost,76.0
135861.51845794392,0.3268156892671461,Lost,Won,68.0
4320717.807058823,0.2876388888888889,Won,Won,100.0
14807.444069400628,0.3184799785361359,Won,Won,92.0
4320717.807058823,0.20422340134838268,Won,Won,99.0
4320717.807058823,0.1769872339840083,Lost,Won,62.0
4320717.807058823,0.26590253896504734,Won,Won,100.0
135861.51845794392,0.25,Won,Won,100.0
4320717.807058823,0.2002851171557268,Lost,Lost,100.0
14807.444069400628,0.177479146449051,Lost,Won,82.0
4320717.807058823,0.21091490778977162,Won,Lost,100.0
4320717.807058823,0.339667437975263,Lost,Lost,100.0
4320717.807058823,0.20325081723461463,Won,Won,66.0
4320717.807058823,0.3150970083695324,Lost,Lost,100.0
4320717.807058823,0.2269388135536631,Lost,Won,74.0
135861.51845794392,0.3159715612849118,Won,Won,72.0
14807.444069400628,0.2511291799724443,Won,Lost,56.99999999999999
4320717.807058823,0.3382294257565159,Lost,Lost,100.0
4320717.807058823,0.3333592293349907,Won,Won,100.0
135861.51845794392,0.3096502668043447,Won,Won,93.0
4320717.807058823,0.3589953877332117,Lost,Lost,100.0
4320717.807058823,0.1867322031254051,Lost,Lost,100.0
4320717.807058823,0.2892197944713033,Lost,Lost,99.0
135861.51845794392,0.20113246012240735,Won,Won,88.0
4320717.807058823,0.3490196706769146,Lost,Lost,100.0
4320717.807058823,0.3690514186636282,Lost,Lost,100.0
4320717.807058823,0.30201665282438084,Won,Lost,91.0
4320717.807058823,0.2416061518712857,Lost,Won,100.0
4320717.807058823,0.3425061527114664,Lost,Lost,100.0
4320717.807058823,0.22325357318340375,Won,Lost,100.0
135861.51845794392,0.3333311603650586,Won,Won,100.0
4320717.807058823,0.3583888678702052,Won,Won,60.0
4320717.807058823,0.3549049116342124,Lost,Lost,100.0
4320717.807058823,0.1785216178521617,Won,Won,100.0
4320717.807058823,0.243073768805115,Won,Won,100.0
4320717.807058823,0.2908011869436201,Won,Lost,100.0
2067.47875,0.26595982417034675,Won,Won,100.0
4320717.807058823,0.29792400052594287,Won,Lost,86.0
4320717.807058823,0.2188235294117647,Won,Won,100.0
4320717.807058823,0.3644859813084112,Won,Won,98.0
4320717.807058823,0.3537770897745056,Lost,Lost,100.0
4320717.807058823,0.2318918192621356,Lost,Lost,92.0
4320717.807058823,0.3500173299145865,Lost,Lost,92.0
4320717.807058823,0.3351391634061684,Lost,Lost,100.0
4320717.807058823,0.1781305114638447,Won,Won,100.0
4320717.807058823,0.1887550200803222,Won,Won,100.0
4320717.807058823,0.18734767849884057,Won,Lost,87.0
4320717.807058823,0.2289658765303464,Won,Won,100.0
4320717.807058823,0.2060348376109502,Lost,Lost,54.0
4320717.807058823,0.3387186508924234,Lost,Lost,100.0
4320717.807058823,0.2961497107308999,Lost,Lost,100.0
135861.51845794392,0.2823529411764706,Won,Won,100.0
135861.51845794392,0.3684108728042832,Won,Won,100.0
4320717.807058823,0.3611885009974309,Lost,Lost,100.0
4320717.807058823,0.26952241376356,Lost,Lost,100.0
4320717.807058823,0.1746462799916807,Won,Won,90.0
4320717.807058823,0.2970341325976884,Won,Lost,100.0
4320717.807058823,0.28771414034745707,Won,Lost,87.0
135861.51845794392,0.313420664983165,Won,Won,100.0
4320717.807058823,0.3251426512309962,Lost,Lost,100.0
4320717.807058823,0.2798105766249005,Lost,Lost,99.0
4320717.807058823,0.3698952879581152,Won,Won,100.0
4320717.807058823,0.2550117736905748,Won,Won,100.0
4320717.807058823,0.1954146768340504,Lost,Lost,100.0
4320717.807058823,0.2172156858405135,Lost,Lost,100.0
4320717.807058823,0.3548923251235186,Won,Lost,87.36666666666667
4320717.807058823,0.3180154245908321,Lost,Lost,100.0
4320717.807058823,0.21950973516915812,Won,Won,100.0
4320717.807058823,0.2740422942480515,Lost,Lost,100.0
4320717.807058823,0.2131077826904259,Lost,Won,67.0
4320717.807058823,0.1783780508690662,Won,Lost,73.0
4320717.807058823,0.3628173560777747,Lost,Won,97.0
4320717.807058823,0.3607979184735475,Won,Lost,96.0
4320717.807058823,0.2281017158534516,Lost,Lost,94.0
4320717.807058823,0.2175348106516176,Won,Won,97.0
4320717.807058823,0.3552240017723556,Lost,Lost,74.0
4320717.807058823,0.3623148427463656,Lost,Lost,100.0
4320717.807058823,0.2279542057088122,Lost,Lost,100.0
135861.51845794392,0.3327777777777778,Won,Won,100.0
4320717.807058823,0.3551939628538288,Lost,Lost,99.0
4320717.807058823,0.2714537014347475,Lost,Lost,98.0
4320717.807058823,0.2725631768953069,Won,Won,100.0
4320717.807058823,0.2799368994693819,Won,Won,69.0
4320717.807058823,0.3180552358957174,Lost,Lost,100.0
4320717.807058823,0.2516510472356751,Won,Won,100.0
4320717.807058823,0.3197413461447375,Lost,Lost,94.0
4320717.807058823,0.2500201694231544,Won,Won,100.0
4320717.807058823,0.1901931649331351,Won,Lost,83.0
4320717.807058823,0.2217442290857761,Lost,Lost,82.0
14807.444069400628,0.2193149381541388,Won,Won,100.0
4320717.807058823,0.2986217457886677,Won,Won,100.0
4320717.807058823,0.345913523036306,Lost,Lost,100.0
135861.51845794392,0.3023489070665928,Lost,Lost,76.0
4320717.807058823,0.265842948166007,Won,Won,100.0
4320717.807058823,0.3397600391724824,Lost,Lost,100.0
4320717.807058823,0.191304347826087,Won,Won,100.0
4320717.807058823,0.2499999999999999,Won,Won,100.0
4320717.807058823,0.26060143650292,Lost,Lost,100.0
4320717.807058823,0.2510458096499183,Lost,Won,100.0
135861.51845794392,0.3383765315136505,Won,Won,99.0
135861.51845794392,0.32741351821340836,Won,Won,99.0
4320717.807058823,0.2987344464532595,Won,Lost,99.0
4320717.807058823,0.29188374361171043,Won,Lost,99.0
135861.51845794392,0.3291311974951794,Won,Lost,60.0
135861.51845794392,0.3199749603602925,Won,Won,100.0
4320717.807058823,0.3639216018769095,Lost,Lost,100.0
4320717.807058823,0.21279801132847423,Won,Lost,96.0
135861.51845794392,0.3410931174089069,Won,Won,98.0
4320717.807058823,0.26422619380825785,Won,Won,86.0
4320717.807058823,0.2311349582560293,Lost,Lost,97.0
4320717.807058823,0.3199990153118997,Won,Won,100.0
4320717.807058823,0.3333789516901602,Won,Won,100.0
4320717.807058823,0.3004745585131662,Lost,Lost,100.0
4320717.807058823,0.30299619110471315,Won,Lost,72.0
4320717.807058823,0.2465226398342704,Won,Won,100.0
4320717.807058823,0.3321904773149159,Lost,Lost,100.0
4320717.807058823,0.2942045035068292,Won,Lost,100.0
135861.51845794392,0.3477137914781583,Won,Lost,67.0
4320717.807058823,0.222103327759508,Lost,Won,64.0
4320717.807058823,0.25,Won,Won,100.0
4320717.807058823,0.3480773514451772,Lost,Lost,56.99999999999999
4320717.807058823,0.2070495861221317,Lost,Lost,84.0
135861.51845794392,0.2515723270440251,Won,Won,100.0
4320717.807058823,0.3306119628364345,Lost,Won,98.0
4320717.807058823,0.2500336157052574,Won,Won,100.0
4320717.807058823,0.3194507792953444,Lost,Lost,74.0
4320717.807058823,0.2193935926773456,Won,Won,99.0
4320717.807058823,0.2051865807417608,Lost,Won,72.0
